"","Zip Code","Latitude","Longitude","Water Consumption Average (HCF)","Water Average Charge"
"121",11233,40.6752974807731,-73.919084718742,174,1705.77
"122",11212,40.6672160671397,-73.9190021916445,360.5,3557.38
"123",11233,40.6706858939241,-73.9188619617541,328,3366.74
"124",11212,40.6643707249216,-73.9188222111913,355,3503.1
"125",10455,40.8190290528221,-73.9174723500447,60,556.33
"126",10456,40.8304577681851,-73.9135897106522,145,1440.71
"127",10456,40.8308362750061,-73.9133615531319,620,5702.4
"128",10453,40.8522328262839,-73.9116551311372,775.5,7421.98
"129",10453,40.853230223214,-73.9106410594646,404,3858.35
"130",10456,40.8327732785218,-73.910281977796,149,1450.58
"131",10456,40.833070944779,-73.9101033795848,106,1064.41
"132",10456,40.8332802198947,-73.9099973329195,137,1351.9
"133",10456,40.8333811263139,-73.9099404019415,228,2184.92
"134",10456,40.834082174288,-73.9095460690805,11.5,127.145
"135",10456,40.8218044659304,-73.9076409935525,685,6479.69
"136",10459,40.8261422528589,-73.9003273575964,303,3013.47
"137",10459,40.8264870797766,-73.8997653328883,255,2484.95
"138",10459,40.8259226966751,-73.8997290936745,254,2494.22
"139",10459,40.826249471812,-73.8990751802345,186,1839.47
"140",10459,40.8199316416679,-73.8990631742918,595,5942.11
"141",10459,40.8265150076394,-73.8989716536845,362,3555.29
"142",10459,40.8265846515359,-73.8898004892027,662,6690.44
"143",10459,40.8261249600364,-73.8893875959377,845,8335.71
"144",10459,40.8250570070151,-73.8892274683557,294,2837.29
"145",10474,40.8182406911218,-73.8891500955839,337,3390.44
"146",10474,40.8189109763279,-73.8887929883245,485.5,4662.58
"147",10460,40.8323641128778,-73.8887592121606,290,2846.15
"148",10474,40.8175524292875,-73.8887489355183,466,4608.31
"149",10459,40.825343347867,-73.8886032002184,566.5,5292.275
"150",10460,40.8327778739858,-73.8885128328329,617,6179.56
"151",10459,40.8240556063312,-73.8884882539189,449,4286.375
"152",10459,40.8250989771442,-73.8884807726123,286,2651.845
"153",10460,40.8341168934855,-73.8884007939302,292,2934.88
"154",10460,40.8333322111201,-73.8881850038921,297.5,3048.87
"155",10459,40.8275120233206,-73.8880666903558,230.5,2137.245
"156",10459,40.8259763037861,-73.8880637198491,609,5452.05
"157",10460,40.8351935845771,-73.8877652290231,696,7042.3
"158",10459,40.8264897192915,-73.887645570593,1445,13018.17
"159",10460,40.8348293328551,-73.887278826991,254,2614.53
"160",10459,40.8299526964425,-73.886988493076,1461,14757.56
"161",11207,40.6710989710936,-73.8869767934584,508,4827.14
"162",11207,40.6718053570996,-73.8867218715584,230,2194.51
"163",11207,40.6711987268196,-73.8863197998882,311,2980.31
"164",10460,40.8358825940019,-73.8855636241279,756,7009.78
"165",11207,40.6601521766575,-73.8828210956405,134,1056.15
"166",11207,40.6609904197543,-73.8809315419424,361,2140.545
"167",10472,40.8258335550728,-73.8777059550499,854,7918.46
"168",10472,40.825445359808,-73.8773632909133,219.5,2022.065
"169",10472,40.8253130529185,-73.8773329950712,210,1895.735
"170",11208,40.6673764437105,-73.8726255137059,187,1818.09
"171",11356,40.7802248108456,-73.8431327950115,55,549.065
"172",11432,40.7064558560137,-73.798852415945,926,9094.01
"173",11433,40.6982009771196,-73.796355268828,666,6494.94
"174",11433,40.6983166052377,-73.7960832930457,226,2151.15
"175",11433,40.6973188584423,-73.7958883077043,808,7465.16
"176",11433,40.697758302456,-73.7956797117521,319,3346.19
"177",11433,40.6968271186133,-73.7955422020281,852,7922.825
"178",11433,40.698367344306,-73.7953929742381,266,2707.53
"179",11433,40.6963387758585,-73.7951761430248,490,4695.67
"180",11433,40.6958682775298,-73.7948399562425,520,4962.985
"181",11433,40.6975124995141,-73.794782193187,625.5,6109.68
"182",11433,40.6965641645471,-73.7946393044318,172,1594.815
"183",11433,40.6953830633539,-73.7944863919345,403,3861.95
"184",11433,40.6960975527726,-73.7942999208975,565,5227.465
"185",11433,40.6967369490675,-73.7942062495482,169,1738.295
"186",11433,40.6948051490787,-73.7940603791163,677,6324.21
"187",11433,40.6956249792941,-73.7939569282868,523.5,5016.7
"188",11433,40.6950921674863,-73.7937656378305,1521,15099.715
"189",11433,40.694318979249,-73.7937040641187,997,9554.25
"190",11433,40.6960012994131,-73.7936755944085,163,1663.79
"191",11433,40.6938504453376,-73.7933660650837,581.5,5428.875
"192",11433,40.6941550458629,-73.7930565229106,685,6623.8
"193",11433,40.6950636315547,-73.7929759402057,297,2940.63
"194",11433,40.6931708569012,-73.7926200386312,464,4626.26
"195",11433,40.6945190695195,-73.7926034424768,254,2457.13
"196",11433,40.6931545940359,-73.7921221419255,604.5,6157.18
"197",11433,40.6925167166139,-73.7920603267818,555,5516.16
"198",11433,40.6937347995979,-73.7920238989165,617,6088.49
"199",11433,40.6927162647589,-73.7912754689932,524,5170.78
"200",11432,40.7082403263282,-73.7905242585314,960,9618.675
"201",11433,40.7060931432036,-73.7889424348149,1957,20040.07
"202",11434,40.685827817771,-73.7845266698237,698.5,6667.31
"203",11434,40.6853500243736,-73.7841470390425,691,6481.27
"204",11434,40.6845215286736,-73.7836695430867,701,6717.68
"205",11434,40.6848197203693,-73.7828152728814,823.5,8001.625
"206",11434,40.6849414667049,-73.782305404418,861,8374.725
