"","Zip Code","Latitude","Longitude","Water Consumption Average (HCF)","Water Average Charge"
"1",11231,40.6752640792226,-74.0017624326268,0,38.07
"2",10038,40.7113175175803,-73.9993973067123,33,337.295
"3",10002,40.7203727134307,-73.9909650092767,643,6161.87
"4",10002,40.7214784838315,-73.9903703557853,477,4424.315
"5",10002,40.7214318025448,-73.9901811372793,397,3957.78
"6",10002,40.7217077697583,-73.9895840687336,535,5050.24
"7",10002,40.7198759175777,-73.9834456679304,125,1122.645
"8",11201,40.6956704452075,-73.9810138476689,1,38.07
"9",10009,40.7230973024937,-73.9804488429386,667,6686.86
"10",10009,40.7237077236768,-73.9792954613872,902.5,9231.655
"11",10009,40.7227342528726,-73.9791438966323,624,6296.03
"12",10009,40.7239310608115,-73.9791331273923,331,3337.91
"13",10009,40.7221642310324,-73.9777895170233,659,6541.49
"14",10009,40.7242057806768,-73.9770159509091,459,4228.495
"15",10009,40.7246343209466,-73.9766738525128,470.5,4248.16
"16",10024,40.7859757538683,-73.9752625818911,204,1973.81
"17",10024,40.7897873965204,-73.9702969538555,776,7926.255
"18",10026,40.8041729478351,-73.9524759894724,1419.5,14576.25
"19",10026,40.8040969255084,-73.9523179486508,1,39.06
"20",11225,40.662236948838,-73.9501175968344,21,212.12
"21",11225,40.6622395922776,-73.9500480173281,21,212.12
"22",11225,40.6622455261661,-73.9499784471741,15,148.02
"23",11225,40.6622490438762,-73.9499066922921,29,286.17
"24",11225,40.6622542276066,-73.9498372539426,22,213.26
"25",11225,40.6622569558189,-73.9497662848497,22,216.32
"26",10029,40.7917709052634,-73.9482655443666,1699.5,16690.96
"27",11206,40.7100628871408,-73.9463083014903,1,35.53
"28",11101,40.7553138266345,-73.9441767737592,840,8466.66
"29",11206,40.710327464044,-73.9439847788223,0,35.12
"30",11206,40.710380808526,-73.9429996766599,0,38.07
"31",11206,40.7090376216125,-73.9427659543868,1,39.34
"32",10030,40.8187642559285,-73.9408872260169,159,1533.28
"33",10030,40.8170769720038,-73.9402275082859,84,833.925
"34",10030,40.8198397720469,-73.9400967009726,621,5999.68
"35",10035,40.8009948504755,-73.9400913566491,570,5384.07
"36",10030,40.8170254491967,-73.9400714212212,142,1361.77
"37",10030,40.819992231755,-73.9399777027059,276,2637.94
"38",10030,40.8201174264578,-73.9398939204737,278,2674.215
"39",10035,40.8017320824265,-73.9396434396721,0,38.07
"40",10030,40.8204725593759,-73.9396363862644,131,1263.09
"41",10030,40.8202385387806,-73.9395924665928,363,3585.93
"42",10030,40.8205518938031,-73.9395706642931,213,2101.86
"43",10030,40.8206487657477,-73.9395039672642,684,6710.17
"44",10030,40.8193731615904,-73.9394704391017,87,893.59
"45",10030,40.8201448993417,-73.9393600694411,121,1209.09
"46",10030,40.8193079677957,-73.9393066597452,117,1154.36
"47",10030,40.8207548833364,-73.9392495153559,171.5,1747.86
"48",10030,40.8192776375101,-73.939213095503,91,907.85
"49",10030,40.8192346482365,-73.9391200407686,124,1194.02
"50",10030,40.8206500724369,-73.938999865875,248,2375.92
"51",10030,40.819897767201,-73.9387791678671,256,2443.67
"52",10030,40.8205477174529,-73.9387585124428,182,1829.14
"53",10030,40.8198411199825,-73.938642532776,229,2266.72
"54",10030,40.8190170330315,-73.9386201098456,225,2292.93
"55",10030,40.8204411565783,-73.9385136597186,343,3421.13
"56",11203,40.662006222992,-73.9384711553313,1653,14913.34
"57",10030,40.8197479046433,-73.9384136702865,178,1756.49
"58",10030,40.8205266747486,-73.9383177556602,184,1786.09
"59",11203,40.6593534877074,-73.9383019663185,8,78.94
"60",10030,40.8196910512834,-73.9382729358959,201.5,2023.97
"61",11203,40.6593549467891,-73.9382336261506,24,248.02
"62",10039,40.8224291283447,-73.9382057600469,196,1928.54
"63",10030,40.8204496610619,-73.9381654444404,284,2753.14
"64",11203,40.6593607120524,-73.9381651944833,29,268.89
"65",11203,40.6593650318119,-73.9380931681742,14,138.15
"66",11203,40.6593665227832,-73.9380224050251,34,343.205
"67",10030,40.8203910120223,-73.937996617473,250,2402.835
"68",11203,40.6593723483753,-73.9379491877084,19,187.49
"69",11203,40.6593753186632,-73.9378814929316,21,207.23
"70",10039,40.8227155371982,-73.9378116938368,236,2358.43
"71",11203,40.6593782493813,-73.9378106385548,40,400.59
"72",11203,40.6593855041137,-73.937739370992,33,333.1
"73",10037,40.8188280754069,-73.9376931226891,204,2011.5
"74",11203,40.6593899448722,-73.9376634600135,15,141.41
"75",10030,40.8202379270288,-73.9376448234812,450,4549.1
"76",10037,40.8189174153944,-73.9376230120321,277,2708.74
"77",11203,40.6593957313561,-73.9375965915017,25,248.02
"78",11203,40.6593990976918,-73.9375289483442,23,222.375
"79",10030,40.8201724401859,-73.9374834349167,133,1374.44
"80",10030,40.8201020466152,-73.9373159799152,287.5,2787.685
"81",10039,40.8323502134218,-73.935783993441,0,63.89
"82",11221,40.6881980851036,-73.9305882405178,443,4538.07
"83",11213,40.6707470884073,-73.9295906201275,249,2386.17
"84",11213,40.6711712308901,-73.9290345395782,256,2457.11
"85",11213,40.6721619452529,-73.9288239423492,108,1291.76
"86",11213,40.6714555733512,-73.9286736675424,166,1609.94
"87",11213,40.6721488235451,-73.9286243268866,629,6353.53
"88",11213,40.6712393319171,-73.9283957686921,387,3705.2
"89",11213,40.6714372591283,-73.9283888384053,198,1978.09
"90",11213,40.6717735040782,-73.9281888975299,253,2530.14
"91",11213,40.6711391589356,-73.9266411178129,259,2604.19
"92",11213,40.671127702255,-73.9264079624863,229.5,2347.32
"93",11213,40.6711124215118,-73.9261734028706,277.5,2708.735
"94",11213,40.6710986923356,-73.9259437498625,208.5,2116.47
"95",11213,40.6714098985374,-73.9251764476137,260,2686.87
"96",11233,40.6717169759009,-73.9232242795738,233,2279.48
"97",11233,40.6721850240051,-73.9232117408723,141,1395.1
"98",11233,40.6739867300003,-73.9229527104201,310,3059.05
"99",11212,40.6668821934574,-73.9229505571285,246,2531.85
"100",11212,40.6665209608567,-73.922786363315,226,2273.5
"101",11212,40.6663169424933,-73.9227187756179,397,3994.48
"102",11212,40.6661116602375,-73.9226656419941,263.5,2473.065
"103",11212,40.6659127823931,-73.9226111247057,131,1333.1
"104",11233,40.6703314811255,-73.9222733067535,358,3511.65
"105",11233,40.6708101685951,-73.9211450248867,318,3187.33
"106",11233,40.6701858332866,-73.920517418427,311,3087.93
"107",11212,40.6676772625995,-73.9201547401533,875.5,7823.07
"108",11212,40.6637081084329,-73.9200717975048,273,2529.25
"109",11233,40.6761264959223,-73.9200572598054,664,6235.505
"110",11212,40.6635359980141,-73.9200237051914,191,1814.735
"111",11233,40.6704010230342,-73.9200116982646,118,1191.92
"112",11233,40.6707467080419,-73.920007132422,378,3906.29
"113",11212,40.6633786184461,-73.9199888827842,147,1408.7
"114",11233,40.6710087516528,-73.9199421763263,204,1916.6
"115",11233,40.6701530503974,-73.9196881094972,387,3818.88
"116",11212,40.6633736898518,-73.9195704004877,237,2283.71
"117",11212,40.6631077718373,-73.9195369400274,149,1427.87
"118",11212,40.6671228758008,-73.9195043625467,196,1900.8
"119",11233,40.6761660814054,-73.9194268976479,642,6152.29
"120",11212,40.6639778675403,-73.9191868843938,571,5404.81
