DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
EAST RIVER,9,3,MANHATTAN,400,EAST 105TH STREET,400 EAST 105TH STREET,NEW YORK,NY,10029,1083941,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7879003663752,-73.9408872521863
EAST RIVER,9,3,MANHATTAN,402,EAST 105TH STREET,402 EAST 105TH STREET,NEW YORK,NY,10029,1083941,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7880709527914,-73.9404638846697
EAST RIVER,9,3,MANHATTAN,404,EAST 105TH STREET,404 EAST 105TH STREET,NEW YORK,NY,10029,1083941,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7878318004849,-73.9403612550565
EAST RIVER,9,4,MANHATTAN,434,EAST 105TH STREET,434 EAST 105TH STREET,NEW YORK,NY,10029,1083947,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7879397083436,-73.9398412935649
EAST RIVER,9,4,MANHATTAN,432,EAST 105TH STREET,432 EAST 105TH STREET,NEW YORK,NY,10029,1083947,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7881834536605,-73.9399318183175
EAST RIVER,9,4,MANHATTAN,430,EAST 105TH STREET,430 EAST 105TH STREET,NEW YORK,NY,10029,1083947,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7882113562882,-73.9394511236067
EAST RIVER,9,5,MANHATTAN,440,EAST 105TH STREET,440 EAST 105TH STREET,NEW YORK,NY,10029,1083949,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7879991532696,-73.9389459802596
EAST RIVER,9,6,MANHATTAN,405,EAST 102ND STREET,405 EAST 102ND STREET,NEW YORK,NY,10029,1083937,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7872566391474,-73.94127929112
EAST RIVER,9,6,MANHATTAN,415,EAST 102ND STREET,415 EAST 102ND STREET,NEW YORK,NY,10029,1083937,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7870542875278,-73.9412068743486
EAST RIVER,9,6,MANHATTAN,421,EAST 102ND STREET,421 EAST 102ND STREET,NEW YORK,NY,10029,1083937,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7871157079263,-73.9409003580751
EAST RIVER,9,6,MANHATTAN,425,EAST 102ND STREET,425 EAST 102ND STREET,NEW YORK,NY,10029,1083937,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.786839748754,-73.9407554142072
EAST RIVER,9,7,MANHATTAN,433,EAST 102ND STREET,433 EAST 102ND STREET,NEW YORK,NY,10029,1083939,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7871066368494,-73.940043703972
EAST RIVER,9,7,MANHATTAN,431,EAST 102ND STREET,431 EAST 102ND STREET,NEW YORK,NY,10029,1083939,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7873503811382,-73.9401342283337
EAST RIVER,9,7,MANHATTAN,429,EAST 102ND STREET,429 EAST 102ND STREET,NEW YORK,NY,10029,1083939,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7873107724395,-73.940441563331
EAST RIVER,9,7,MANHATTAN,427,EAST 102ND STREET,427 EAST 102ND STREET,NEW YORK,NY,10029,1083939,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7875269224245,-73.9405200151762
EAST RIVER,9,8,MANHATTAN,442,EAST 105TH STREET,442 EAST 105TH STREET,NEW YORK,NY,10029,1083950,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7877386730436,-73.9395002359369
EAST RIVER,9,8,MANHATTAN,444,EAST 105TH STREET,444 EAST 105TH STREET,NEW YORK,NY,10029,1083950,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7875317151054,-73.9394157305244
EAST RIVER,9,8,MANHATTAN,446,EAST 105TH STREET,446 EAST 105TH STREET,NEW YORK,NY,10029,1083950,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7874440742684,-73.9397102057465
EAST RIVER,9,8,MANHATTAN,448,EAST 105TH STREET,448 EAST 105TH STREET,NEW YORK,NY,10029,1083950,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7872003255801,-73.9396136333943
EAST RIVER,9,9,MANHATTAN,450,EAST 105TH STREET,450 EAST 105TH STREET,NEW YORK,NY,10029,1083952,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.78787720977,-73.9386824219319
EAST RIVER,9,9,MANHATTAN,452,EAST 105TH STREET,452 EAST 105TH STREET,NEW YORK,NY,10029,1083952,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7876564573665,-73.9385979304223
EAST RIVER,9,9,MANHATTAN,454,EAST 105TH STREET,454 EAST 105TH STREET,NEW YORK,NY,10029,1083952,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.787596823638,-73.9388641685504
EAST RIVER,9,10,MANHATTAN,435,EAST 102ND STREET,435 EAST 102ND STREET,NEW YORK,NY,10029,1083942,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.786757068874,-73.9400944894899
EAST RIVER,9,10,MANHATTAN,445,EAST 102ND STREET,445 EAST 102ND STREET,NEW YORK,NY,10029,1083942,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7864489859494,-73.9400705680988
EAST RIVER,9,10,MANHATTAN,451,EAST 102ND STREET,451 EAST 102ND STREET,NEW YORK,NY,10029,1083942,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7865151124609,-73.9397665574287
EAST RIVER,9,10,MANHATTAN,455,EAST 102ND STREET,455 EAST 102ND STREET,NEW YORK,NY,10029,1083942,1696,1,1016960001,162,MN33,East Harlem South,11,8,68,30,13,40.7863081546782,-73.9396820515568
EASTCHESTER GARDENS,34,1,BRONX,1134,BURKE AVENUE,1134 BURKE AVENUE,BRONX,NY,10469,2093490,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8708809677491,-73.8540415893719
EASTCHESTER GARDENS,34,1,BRONX,1140,BURKE AVENUE,1140 BURKE AVENUE,BRONX,NY,10469,2093490,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8707221650431,-73.8538491286037
EASTCHESTER GARDENS,34,2,BRONX,1160,BURKE AVENUE,1160 BURKE AVENUE,BRONX,NY,10469,2093496,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8707568584324,-73.8532447873392
EASTCHESTER GARDENS,34,2,BRONX,1166,BURKE AVENUE,1166 BURKE AVENUE,BRONX,NY,10469,2093497,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8706163495895,-73.8530522872162
EASTCHESTER GARDENS,34,3,BRONX,1210,BURKE AVENUE,1210 BURKE AVENUE,BRONX,NY,10469,2093498,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8707440281489,-73.8523306020549
EASTCHESTER GARDENS,34,3,BRONX,1216,BURKE AVENUE,1216 BURKE AVENUE,BRONX,NY,10469,2093499,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8705791244867,-73.8521381593295
EASTCHESTER GARDENS,34,4,BRONX,1236,BURKE AVENUE,1236 BURKE AVENUE,BRONX,NY,10469,2093500,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8708189333399,-73.8512842237597
EASTCHESTER GARDENS,34,4,BRONX,1240,BURKE AVENUE,1240 BURKE AVENUE,BRONX,NY,10469,2093501,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.870666234498,-73.8510997893981
EASTCHESTER GARDENS,34,5,BRONX,1260,BURKE AVENUE,1260 BURKE AVENUE,BRONX,NY,10469,2093502,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8708038943306,-73.8504481461481
EASTCHESTER GARDENS,34,6,BRONX,3055,BOUCK AVENUE,3055 BOUCK AVENUE,BRONX,NY,10469,2093494,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8703500778375,-73.8503291503653
EASTCHESTER GARDENS,34,7,BRONX,1255,ADEE AVENUE,1255 ADEE AVENUE,BRONX,NY,10469,2093493,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8696849903907,-73.8504874596911
EASTCHESTER GARDENS,34,8,BRONX,1245,ADEE AVENUE,1245 ADEE AVENUE,BRONX,NY,10469,2093492,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8696997758624,-73.8509896511762
EASTCHESTER GARDENS,34,9,BRONX,1219,ADEE AVENUE,1219 ADEE AVENUE,BRONX,NY,10469,2093491,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8697183831275,-73.8519561577023
EASTCHESTER GARDENS,34,10,BRONX,3020,YATES AVENUE,3020 YATES AVENUE,BRONX,NY,10469,2093503,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8700828003713,-73.8541994416794
EASTCHESTER GARDENS,34,10,BRONX,3010,YATES AVENUE,3010 YATES AVENUE,BRONX,NY,10469,2093503,4581,1,2045810001,348,BX31,Allerton-Pelham Gardens,11,12,83,36,16,40.8699239775765,-73.8539909152411
EDENWALD,57,1,BRONX,1180,GRENADA PLACE,1180 GRENADA PLACE,BRONX,NY,10466,2093739,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8879063210726,-73.8435205994321
EDENWALD,57,1,BRONX,1186,GRENADA PLACE,1186 GRENADA PLACE,BRONX,NY,10466,2093739,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8877656546099,-73.8432236069284
EDENWALD,57,2,BRONX,3881,BAYCHESTER AVENUE,3881 BAYCHESTER AVENUE,BRONX,NY,10466,2094142,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.887807803999,-73.8425992148702
EDENWALD,57,2,BRONX,3885,BAYCHESTER AVENUE,3885 BAYCHESTER AVENUE,BRONX,NY,10466,2094142,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8878684154875,-73.842325853485
EDENWALD,57,3,BRONX,3861,BAYCHESTER AVENUE,3861 BAYCHESTER AVENUE,BRONX,NY,10466,2094141,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8872136507437,-73.842379999138
EDENWALD,57,3,BRONX,3865,BAYCHESTER AVENUE,3865 BAYCHESTER AVENUE,BRONX,NY,10466,2094141,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8873967118205,-73.8424599221002
EDENWALD,57,4,BRONX,3841,BAYCHESTER AVENUE,3841 BAYCHESTER AVENUE,BRONX,NY,10466,2094140,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8869369549849,-73.8418116696595
EDENWALD,57,4,BRONX,3845,BAYCHESTER AVENUE,3845 BAYCHESTER AVENUE,BRONX,NY,10466,2094140,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8868824115985,-73.842060905053
EDENWALD,57,5,BRONX,1981,SCHIEFFELIN AVENUE,1981 SCHIEFFELIN AVENUE,BRONX,NY,10466,2094138,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8862978677514,-73.8418131725753
EDENWALD,57,5,BRONX,1985,SCHIEFFELIN AVENUE,1985 SCHIEFFELIN AVENUE,BRONX,NY,10466,2094138,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.886437866326,-73.8416199844796
EDENWALD,57,6,BRONX,1961,SCHIEFFELIN AVENUE,1961 SCHIEFFELIN AVENUE,BRONX,NY,10466,2094137,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8859583623149,-73.842432588859
EDENWALD,57,6,BRONX,1965,SCHIEFFELIN AVENUE,1965 SCHIEFFELIN AVENUE,BRONX,NY,10466,2094137,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8860988665647,-73.8426090394507
EDENWALD,57,7,BRONX,1173,229TH DRIVE NORTH,1173 229TH DRIVE NORTH,BRONX,NY,10466,2094139,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.886627578415,-73.8429671978919
EDENWALD,57,8,BRONX,1159,229TH DRIVE NORTH,1159 229TH DRIVE NORTH,BRONX,NY,10466,2094145,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8870460963581,-73.8433577724268
EDENWALD,57,9,BRONX,1147,229TH DRIVE NORTH,1147 229TH DRIVE NORTH,BRONX,NY,10466,2094144,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8874117407683,-73.8444222633716
EDENWALD,57,9,BRONX,1149,229TH DRIVE NORTH,1149 229TH DRIVE NORTH,BRONX,NY,10466,2094144,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.887264988484,-73.8441333207727
EDENWALD,57,10,BRONX,1166,GRENADA PLACE,1166 GRENADA PLACE,BRONX,NY,10466,2094149,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8876507486114,-73.8437307555586
EDENWALD,57,10,BRONX,1160,GRENADA PLACE,1160 GRENADA PLACE,BRONX,NY,10466,2094149,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8877975227102,-73.8440357708678
EDENWALD,57,11,BRONX,1137,229TH DRIVE NORTH,1137 229TH DRIVE NORTH,BRONX,NY,10466,2094143,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8875204801885,-73.8453814012794
EDENWALD,57,11,BRONX,1139,229TH DRIVE NORTH,1139 229TH DRIVE NORTH,BRONX,NY,10466,2094143,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8874773383377,-73.8450439989832
EDENWALD,57,12,BRONX,1125,229TH DRIVE NORTH,1125 229TH DRIVE NORTH,BRONX,NY,10466,2094148,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8873123781913,-73.8462818592324
EDENWALD,57,12,BRONX,1127,229TH DRIVE NORTH,1127 229TH DRIVE NORTH,BRONX,NY,10466,2094148,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8874686106042,-73.8459999438406
EDENWALD,57,13,BRONX,1107,EAST 229TH STREET,1107 EAST 229TH STREET,BRONX,NY,10466,2094146,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8870816731569,-73.8469403088203
EDENWALD,57,13,BRONX,1111,EAST 229TH STREET,1111 EAST 229TH STREET,BRONX,NY,10466,2094146,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.886990201058,-73.8466521850191
EDENWALD,57,14,BRONX,1135,EAST 229TH STREET,1135 EAST 229TH STREET,BRONX,NY,10466,2094147,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8869382900912,-73.8456862191901
EDENWALD,57,15,BRONX,1141,EAST 229TH STREET,1141 EAST 229TH STREET,BRONX,NY,10466,2094151,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.886847699055,-73.8452018507643
EDENWALD,57,16,BRONX,1151,EAST 229TH STREET,1151 EAST 229TH STREET,BRONX,NY,10466,2094152,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8866083129806,-73.8444759586063
EDENWALD,57,17,BRONX,1165,EAST 229TH STREET,1165 EAST 229TH STREET,BRONX,NY,10466,2094153,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8863914295998,-73.8441020557229
EDENWALD,57,18,BRONX,1175,EAST 229TH STREET,1175 EAST 229TH STREET,BRONX,NY,10466,2094154,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8860294921725,-73.8437231046599
EDENWALD,57,19,BRONX,1189,229TH DRIVE NORTH,1189 229TH DRIVE NORTH,BRONX,NY,10466,2094155,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8856845195933,-73.8429168292831
EDENWALD,57,19,BRONX,1195,EAST 229TH STREET,1195 EAST 229TH STREET,BRONX,NY,10466,2094155,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8855202238851,-73.8431823905936
EDENWALD,57,20,BRONX,1170,229TH DRIVE SOUTH,1170 229TH DRIVE SOUTH,BRONX,NY,10466,2094150,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.885259112131,-73.8446800418866
EDENWALD,57,21,BRONX,1153,229TH DRIVE SOUTH,1153 229TH DRIVE SOUTH,BRONX,NY,10466,2094157,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8853989433614,-73.8457119457979
EDENWALD,57,21,BRONX,1155,229TH DRIVE SOUTH,1155 229TH DRIVE SOUTH,BRONX,NY,10466,2094157,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8852819018402,-73.8454388559543
EDENWALD,57,22,BRONX,1132,229TH DRIVE SOUTH,1132 229TH DRIVE SOUTH,BRONX,NY,10466,2094156,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8859532291022,-73.8461083978885
EDENWALD,57,23,BRONX,1128,EAST 229TH STREET,1128 EAST 229TH STREET,BRONX,NY,10466,2094158,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8863606032314,-73.8463774474527
EDENWALD,57,23,BRONX,1120,EAST 229TH STREET,1120 EAST 229TH STREET,BRONX,NY,10466,2094158,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8864778416442,-73.8466899561383
EDENWALD,57,24,BRONX,4044,LACONIA AVENUE,4044 LACONIA AVENUE,BRONX,NY,10466,2094161,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8861080352324,-73.847039700075
EDENWALD,57,24,BRONX,4040,LACONIA AVENUE,4040 LACONIA AVENUE,BRONX,NY,10466,2094161,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8859935783988,-73.846723753472
EDENWALD,57,25,BRONX,4056,LACONIA AVENUE,4056 LACONIA AVENUE,BRONX,NY,10466,2094162,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8863597210161,-73.8474033743031
EDENWALD,57,25,BRONX,4064,LACONIA AVENUE,4064 LACONIA AVENUE,BRONX,NY,10466,2094162,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8866527191625,-73.8472552183087
EDENWALD,57,26,BRONX,4020,LACONIA AVENUE,4020 LACONIA AVENUE,BRONX,NY,10466,2094159,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8857081654264,-73.8478180910162
EDENWALD,57,26,BRONX,4024,LACONIA AVENUE,4024 LACONIA AVENUE,BRONX,NY,10466,2094159,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8859199816387,-73.8476740505409
EDENWALD,57,27,BRONX,4034,LACONIA AVENUE,4034 LACONIA AVENUE,BRONX,NY,10466,2094160,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8856757975275,-73.8470442897526
EDENWALD,57,27,BRONX,4030,LACONIA AVENUE,4030 LACONIA AVENUE,BRONX,NY,10466,2094160,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8854652865097,-73.8471832776937
EDENWALD,57,28,BRONX,1138,229TH DRIVE SOUTH,1138 229TH DRIVE SOUTH,BRONX,NY,10466,2097991,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8852191242317,-73.8464169122277
EDENWALD,57,29,BRONX,1154,229TH DRIVE SOUTH,1154 229TH DRIVE SOUTH,BRONX,NY,10466,2094168,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8847911323275,-73.8460626060558
EDENWALD,57,30,BRONX,1160,229TH DRIVE SOUTH,1160 229TH DRIVE SOUTH,BRONX,NY,10466,2094169,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8846848286935,-73.8453618789501
EDENWALD,57,31,BRONX,1187,226TH DRIVE,1187 226TH DRIVE,BRONX,NY,10466,2094166,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8843076365959,-73.8458772839073
EDENWALD,57,31,BRONX,1183,226TH DRIVE,1183 226TH DRIVE,BRONX,NY,10466,2094166,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8841147478663,-73.8460636738881
EDENWALD,57,32,BRONX,1169,226TH DRIVE,1169 226TH DRIVE,BRONX,NY,10466,2094165,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8846146761862,-73.8466089513739
EDENWALD,57,32,BRONX,1165,226TH DRIVE,1165 226TH DRIVE,BRONX,NY,10466,2094165,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8843944903784,-73.8467293006873
EDENWALD,57,33,BRONX,1145,226TH DRIVE,1145 226TH DRIVE,BRONX,NY,10466,2094164,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8848587770269,-73.8471358873617
EDENWALD,57,33,BRONX,1141,226TH DRIVE,1141 226TH DRIVE,BRONX,NY,10466,2094164,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8846384916985,-73.8472562901784
EDENWALD,57,34,BRONX,1131,226TH DRIVE,1131 226TH DRIVE,BRONX,NY,10466,2094163,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8848296615198,-73.8477995303284
EDENWALD,57,34,BRONX,1135,226TH DRIVE,1135 226TH DRIVE,BRONX,NY,10466,2094163,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8850414777433,-73.8476554916974
EDENWALD,57,35,BRONX,4000,LACONIA AVENUE,4000 LACONIA AVENUE,BRONX,NY,10466,2094171,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8850721038085,-73.8482457767075
EDENWALD,57,35,BRONX,4010,LACONIA AVENUE,4010 LACONIA AVENUE,BRONX,NY,10466,2094171,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8852458757156,-73.8481276100689
EDENWALD,57,36,BRONX,1115,EAST 225TH STREET,1115 EAST 225TH STREET,BRONX,NY,10466,2094172,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8843473078032,-73.8487287204448
EDENWALD,57,36,BRONX,1121,EAST 225TH STREET,1121 EAST 225TH STREET,BRONX,NY,10466,2094172,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8845591252067,-73.8485846870058
EDENWALD,57,37,BRONX,1138,226TH DRIVE,1138 226TH DRIVE,BRONX,NY,10466,2094173,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8842123647225,-73.8476527595517
EDENWALD,57,37,BRONX,1130,226TH DRIVE,1130 226TH DRIVE,BRONX,NY,10466,2094173,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8843283886662,-73.8479277365624
EDENWALD,57,38,BRONX,1155,EAST 225TH STREET,1155 EAST 225TH STREET,BRONX,NY,10466,2094176,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8836864481337,-73.8471607453359
EDENWALD,57,38,BRONX,1161,EAST 225TH STREET,1161 EAST 225TH STREET,BRONX,NY,10466,2094176,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8839034938152,-73.8470406219008
EDENWALD,57,39,BRONX,1181,EAST 225TH STREET,1181 EAST 225TH STREET,BRONX,NY,10466,2094177,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8836725096731,-73.8464532689647
EDENWALD,57,39,BRONX,1175,EAST 225TH STREET,1175 EAST 225TH STREET,BRONX,NY,10466,2094177,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.883482581459,-73.8466347342451
EDENWALD,57,40,BRONX,1195,EAST 225TH STREET,1195 EAST 225TH STREET,BRONX,NY,10466,2094174,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.8832185244094,-73.8461612096125
EDENWALD,57,40,BRONX,1855,SCHIEFFELIN AVENUE,1855 SCHIEFFELIN AVENUE,BRONX,NY,10466,2094174,4905,1,2049050001,458,BX03,Eastchester-Edenwald-Baychester,12,12,83,36,16,40.883385966167,-73.8458963587923
ELLIOTT,15,1,MANHATTAN,288,10TH AVENUE,288 10TH AVENUE,NEW YORK,NY,10001,1083582,724,1,1007240001,97,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,31,10,40.749827275717,-74.0021458672085
ELLIOTT,15,1,MANHATTAN,450,WEST 27TH DRIVE,450 WEST 27TH DRIVE,NEW YORK,NY,10001,1083582,724,1,1007240001,97,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,31,10,40.7496856099261,-74.001994911301
ELLIOTT,15,2,MANHATTAN,466,WEST 26TH STREET,466 WEST 26TH STREET,NEW YORK,NY,10001,1083578,723,1,1007230001,93,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,27,10,40.7492019695262,-74.0025936003008
ELLIOTT,15,2,MANHATTAN,264,10TH AVENUE,264 10TH AVENUE,NEW YORK,NY,10001,1083578,723,1,1007230001,93,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,27,10,40.7490686211719,-74.0027326556247
ELLIOTT,15,3,MANHATTAN,446,WEST 26TH STREET,446 WEST 26TH STREET,NEW YORK,NY,10001,1083579,723,1,1007230001,93,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,27,10,40.7489638438156,-74.0020293762052
ELLIOTT,15,3,MANHATTAN,443,WEST 25TH STREET,443 WEST 25TH STREET,NEW YORK,NY,10001,1083579,723,1,1007230001,93,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,4,3,75,27,10,40.7488350940082,-74.0021744770608
