DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
ADAMS,118,6,BRONX,680,TINTON AVENUE,680 TINTON AVENUE,BRONX,NY,10455,2091987,2665,1,2026650001,79,BX34,Melrose South-Mott Haven North,1,17,84,29,15,40.8161043198487,-73.9046162187625
ADAMS,118,7,BRONX,815,EAST 152ND STREET,815 EAST 152ND STREET,BRONX,NY,10455,2091989,2665,1,2026650001,79,BX34,Melrose South-Mott Haven North,1,17,84,29,15,40.8155647261195,-73.9047541032249
ALBANY,31,1,BROOKLYN,180,TROY AVENUE,180 TROY AVENUE,BROOKLYN,NY,11213,3324615,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.673284989107,-73.9366065164134
ALBANY,31,2,BROOKLYN,1191,PARK PLACE,1191 PARK PLACE,BROOKLYN,NY,11213,3324614,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.6729151765196,-73.9376833037005
ALBANY,31,3,BROOKLYN,205,ALBANY AVENUE,205 ALBANY AVENUE,BROOKLYN,NY,11213,3324613,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.6733901057667,-73.9386875840905
ALBANY,31,4,BROOKLYN,193,ALBANY AVENUE,193 ALBANY AVENUE,BROOKLYN,NY,11213,3324612,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.673981923661,-73.9386321672676
ALBANY,31,5,BROOKLYN,1008,SAINT MARKS AVENUE,1008 SAINT MARKS AVENUE,BROOKLYN,NY,11213,3324616,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.6743471738462,-73.9375499848183
ALBANY,31,6,BROOKLYN,162,TROY AVENUE,162 TROY AVENUE,BROOKLYN,NY,11213,3324617,1352,80,3013520080,343,BK61,Crown Heights North,8,36,56,25,9,40.6738676035482,-73.9365460147708
ALBANY II,85,7,BROOKLYN,1400,BERGEN STREET,1400 BERGEN STREET,BROOKLYN,NY,11213,3324611,1352,1,3013520001,343,BK61,Crown Heights North,8,36,56,25,9,40.6750956166958,-73.9381508647761
ALBANY II,85,8,BROOKLYN,1414,BERGEN STREET,1414 BERGEN STREET,BROOKLYN,NY,11213,3324609,1352,1,3013520001,343,BK61,Crown Heights North,8,36,56,25,9,40.6750191105007,-73.9374939048228
ALBANY II,85,9,BROOKLYN,1430,BERGEN STREET,1430 BERGEN STREET,BROOKLYN,NY,11213,3324610,1352,1,3013520001,343,BK61,Crown Heights North,8,36,56,25,9,40.6750231707439,-73.9368258324241
AMSTERDAM,22,1,MANHATTAN,40,AMSTERDAM AVENUE,40 AMSTERDAM AVENUE,NEW YORK,NY,10023,1081771,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.771974058902,-73.9868957773471
AMSTERDAM,22,1,MANHATTAN,50,AMSTERDAM AVENUE,50 AMSTERDAM AVENUE,NEW YORK,NY,10023,1081771,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.772157960425,-73.9867061301354
AMSTERDAM,22,2,MANHATTAN,60,AMSTERDAM AVENUE,60 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082575,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7726055457248,-73.9864602082401
AMSTERDAM,22,2,MANHATTAN,70,AMSTERDAM AVENUE,70 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082575,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7727931257525,-73.9862763033274
AMSTERDAM,22,3,MANHATTAN,80,AMSTERDAM AVENUE,80 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082576,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.773234470772,-73.9860028741829
AMSTERDAM,22,3,MANHATTAN,90,AMSTERDAM AVENUE,90 AMSTERDAM AVENUE,NEW YORK,NY,10023,1082576,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7734146929436,-73.9858189678118
AMSTERDAM,22,4,MANHATTAN,216,WEST 62ND STREET,216 WEST 62ND STREET,NEW YORK,NY,10023,1082577,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7727590946562,-73.987133135988
AMSTERDAM,22,5,MANHATTAN,217,WEST 62ND STREET,217 WEST 62ND STREET,NEW YORK,NY,10023,1082578,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7729744915159,-73.9869742298043
AMSTERDAM,22,5,MANHATTAN,216,WEST 63RD STREET,216 WEST 63RD STREET,NEW YORK,NY,10023,1082578,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.77324667418,-73.986770953511
AMSTERDAM,22,6,MANHATTAN,217,WEST 63RD STREET,217 WEST 63RD STREET,NEW YORK,NY,10023,1082579,1154,101,1011540101,151,MN14,Lincoln Square,7,6,67,31,10,40.7733933762295,-73.9866635250483
