"","Zip Code","Latitude","Longitude","Electric Consumption Average (KWH)","Electric Average Charge"
"1",10303,40.63300603,-74.16378339,126442.519685039,16248.2549606299
"2",10303,40.63301174,-74.16330439,120086.614173228,15831.3592913386
"3",10303,40.63283115,-74.16270674,50602.0618556701,6766.29149484536
"4",10303,40.63326929,-74.16211441,98195.2755905512,12847.9900787402
"5",10314,40.60882834,-74.11866621,145323.577235772,17615.7679674797
"6",10310,40.63584478,-74.11816281,175063.905511811,20894.0172440945
"7",10306,40.58736964,-74.10275249,155676.19047619,20321.9770634921
"8",10301,40.64227031,-74.09677857,104121.568627451,13652.8373529412
"9",10301,40.64614975,-74.08811765,119294.488188976,15460.3188582677
"10",10301,40.64721006,-74.08778451,103681.88976378,13386.5494488189
"11",10304,40.62273351,-74.08211111,265433.070866142,30994.8555905512
"12",10304,40.62300202,-74.08113518,22897.6377952756,3974.94708661417
"13",10305,40.59620662,-74.07994943,148180.952380952,17923.0107936508
"14",10305,40.61283541,-74.06204604,25126.1377952756,3048.99374015748
"15",11231,40.67633705,-74.01091721,10437.6371308017,1516.17282700422
"16",11231,40.67597021,-74.00980104,12058.2608695652,1582.30713043478
"17",11231,40.67645171,-74.0093755,43550,6738.50081896552
"18",11231,40.67624031,-74.00656467,40378.8555858311,5450.07847411444
"19",11231,40.67669067,-74.00634685,30039.6666666667,4002.56470833333
"20",11231,40.67695629,-74.00632466,485.401515151515,116.113446969697
"21",11231,40.67601714,-74.00577607,26402,3533.74866666667
"22",11231,40.67647612,-74.00555554,25072.6666666667,3456.64608333333
"23",11231,40.67447863,-74.00554774,31689.3333333333,4261.58104166667
"24",10011,40.7434107,-74.00552707,33520.6299212598,4731.25267716535
"25",11231,40.67508856,-74.00530687,23555.3333333333,3143.41004166667
"26",10011,40.74349667,-74.00524529,35859.5275590551,5075.84188976378
"27",11231,40.67563215,-74.00504516,30430.6666666667,3751.01879166667
"28",10011,40.74301067,-74.00503409,105099.212598425,14289.2211811024
"29",11231,40.67425429,-74.00473702,24381.3333333333,3304.78808333333
"30",10011,40.74347744,-74.00470315,123729.133858268,16623.5628346457
"31",10011,40.74248985,-74.00465793,37858.2677165354,5286.06236220472
"32",10011,40.74300262,-74.00453447,37746.7716535433,5222.10527559055
"33",11231,40.67469809,-74.0045112,31172.6666666667,4103.34141666667
"34",10011,40.74415886,-74.00420056,101628.346456693,14084.2882677165
"35",11231,40.67554365,-74.00409763,26317.3333333333,3519.313875
"36",10011,40.7433175,-74.00384358,52005.6692913386,7272.98330708661
"37",10011,40.74366071,-74.00380908,32851.6535433071,4762.66338582677
"38",10011,40.74412013,-74.00370851,33548.031496063,4775.97039370079
"39",10011,40.74435668,-74.00364631,34719.3700787402,4807.92874015748
"40",10001,40.74906862,-74.00273266,39239.8406374502,5202.3819123506
"41",10001,40.74883509,-74.00217448,35298.8976377953,4699.61881889764
"42",10001,40.74968561,-74.00199491,46247.2440944882,6185.95673228346
"43",11231,40.67526408,-74.00176243,1300.85,202.217833333333
"44",10001,40.74884098,-74.00137493,128300.8,17121.44404
"45",10001,40.74971821,-74.00123583,66582.6771653543,9769.90976377953
"46",10001,40.74933355,-74.00095859,53130.7086614173,7004.99118110236
"47",11224,40.57363097,-74.00065646,97940.157480315,12728.4278740157
"48",11224,40.58053023,-74.00040191,12655.652173913,1612.2628458498
"49",11224,40.57982246,-74.0002747,12703.557312253,1602.3404743083
"50",10038,40.71010924,-74.00021521,42310.4347826087,5725.70669565217
"51",10038,40.71061243,-74.00019746,42131.3043478261,5664.17630434783
"52",11224,40.57914102,-74.00006021,11971.0671936759,1516.77845849802
"53",11224,40.57367186,-74.00003546,51070.8661417323,7113.6537007874
"54",11224,40.57401844,-73.99985004,44642.5196850394,6478.50078740157
"55",11224,40.57849135,-73.99984513,11490.9090909091,1474.05869565217
"56",11224,40.57955808,-73.99974934,22811.0671936759,2957.06786561265
"57",11224,40.58028997,-73.99971947,13308.4584980237,1689.86446640316
"58",11224,40.57326225,-73.9997153,46901.5748031496,6617.33992125984
"59",11224,40.57778312,-73.99971352,14375.3359683794,1814.54529644269
"60",11224,40.57887334,-73.99962507,13218.3399209486,1703.85588932806
"61",10038,40.71131752,-73.99939731,44051.3043478261,5918.49065217391
"62",11224,40.57690536,-73.99930603,65518.1102362205,8951.48992125984
"63",10038,40.71020857,-73.9992304,63972.1739130435,7848.75565217391
"64",11224,40.57998188,-73.99918715,13098.023715415,1633.98873517787
"65",11224,40.57778779,-73.99908893,12007.9051383399,1536.60695652174
"66",11224,40.57421087,-73.9990301,48732.2834645669,6993.13866141732
"67",11224,40.57320137,-73.99901957,48151.1811023622,6801.96511811024
"68",11224,40.57914451,-73.99898161,12225.6126482213,1563.66632411067
"69",11224,40.57845951,-73.99896155,13187.0355731225,1681.36964426877
"70",10038,40.70911846,-73.99890734,48539.1304347826,6487.40804347826
"71",11224,40.57375828,-73.9987913,88089.7637795276,12041.5364566929
"72",10038,40.7107338,-73.99873806,48798.2608695652,6580.12330434783
"73",10038,40.71153219,-73.99864025,41140,5589.80539130435
"74",11224,40.57958582,-73.99853703,12426.8774703557,1577.44802371542
"75",10038,40.70977157,-73.99850489,44551.3043478261,5974.22765217391
"76",11224,40.57887641,-73.99836769,13672.5691699605,1745.0018972332
"77",11224,40.57789304,-73.99818654,12876.6798418972,1638.20814229249
"78",10038,40.71152536,-73.99812539,44932.1739130435,6026.02339130435
"79",11224,40.57368675,-73.9980208,72831.4960629921,9479.30173228346
"80",11224,40.57200958,-73.99764125,11253.2467532468,1619.73567099567
"81",10038,40.70976886,-73.99749682,50443.8095238095,6683.32914285714
"82",11224,40.57368705,-73.9973852,134718.11023622,18683.727480315
"83",10038,40.71163597,-73.9971366,42620,5780.47347826087
"84",11224,40.57213341,-73.99687164,36194.3540669856,4674.88799043062
"85",10038,40.70949392,-73.99661056,45664.347826087,6344.96539130435
"86",11224,40.57226661,-73.99645838,37351.948051948,4767.51943722944
"87",11224,40.57215132,-73.99579983,44605.5118110236,6198.18787401575
"88",11224,40.57209678,-73.99501891,54156.3358778626,7259.29167938931
"89",11224,40.57512208,-73.99226209,127730.63973064,16901.5273063973
"90",10002,40.71666529,-73.99215245,79064.5669291339,11403.2817322835
"91",10002,40.71211976,-73.99204121,70714.9606299213,10194.9707874016
"92",10002,40.7113932,-73.99191066,88305.5118110236,12367.0007086614
"93",11224,40.57261952,-73.99136635,54992.125984252,7689.96118110236
"94",10019,40.76809859,-73.99103249,37139.5275590551,5561.85165354331
"95",10002,40.71234958,-73.99096766,97685.0393700787,13487.0681889764
"96",10002,40.72037271,-73.99096501,19412.2834645669,2333.79188976378
"97",11224,40.57318859,-73.99083937,57742.3622047244,8745.20330708661
"98",11224,40.57742226,-73.99072553,142330.708661417,18759.782519685
"99",11224,40.57214887,-73.99067871,44597.1653543307,6507.50850393701
"100",10002,40.72201981,-73.99061259,3394.77165354331,927.279212598425
"101",10002,40.72147848,-73.99037036,4863.93700787402,637.759921259842
"102",11224,40.57489401,-73.99030059,169817.322834646,22359.5041732283
"103",10002,40.7214318,-73.99018114,5629.46456692913,651.467716535433
"104",10019,40.76874904,-73.99015298,132163.779527559,17692.1972440945
"105",10002,40.71226798,-73.99012751,75222.0472440945,10673.7396850394
"106",10002,40.71157116,-73.99001751,72521.2598425197,10252.6554330709
"107",11217,40.68278861,-73.99001637,16844.2975206612,2235.39276859504
"108",11217,40.68319883,-73.98986536,7407.93388429752,991.212561983471
"109",10002,40.72170777,-73.98958407,3681.92125984252,1013.13377952756
"110",11224,40.57499622,-73.98944387,156102.362204724,20639.6431496063
"111",10002,40.71162734,-73.9894207,38196.4757709251,5262.51872246696
"112",10002,40.72208689,-73.98940094,82337.0078740157,11302.8839370079
"113",11217,40.68342967,-73.98913103,36239.0697674419,5042.26122093023
"114",11217,40.68452954,-73.98896785,9040.16666666667,1194.87416666667
"115",10023,40.77306193,-73.98892576,15788.1938325991,2201.22537444934
"116",11217,40.68257523,-73.98877886,27406.976744186,3763.30537790698
"117",11217,40.68392414,-73.98874659,34093.8842975207,4555.86892561983
"118",10023,40.77343654,-73.98858095,16036.1233480176,2226.09669603524
"119",11217,40.68492983,-73.98853775,8426.27906976744,1171.04941860465
"120",10002,40.71176133,-73.98851583,46139.2125984252,6799.9337007874
"121",10002,40.71735064,-73.98850878,96784.2519685039,13787.2645669291
